UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,,,,,,,,
9650,Средний Каретный переулок,58481145,Ср. Каретный пер.,Srednij Karetny'j pereulok,2,,108,"7,70000000000551E+016",,,,,,,,
9660,улица Каретный Ряд,58481146,ул. Каретный Ряд,ulicza Karetny'j Ryad,1,,108,"7,70000000000552E+016",,,,,,,,
9670,Старая Басманная улица,58481147,Ст. Басманная ул.,Staraya Basmannaya ulicza,1,,102,"7,70000000007024E+016",,,,,,,,
9680,Карманицкий переулок,58481148,Карманицкий пер.,Karmaniczkij pereulok,2,,101,"7,70000000001445E+016",,,,,,,,
9690,улица Карьер,58481149,ул. Карьер,ulicza Kar`er,1,,701,"7,70000000001446E+016",,,,,,,,
9700,Карьерная улица,58481150,Карьерная ул.,Kar`ernaya ulicza,1,,813,"7,70000000001447E+016",,,,,,,,
9704,1-я Карпатская улица,58481151,1-я Карпатская ул.,Pervaya Karpatskaya ulicza,1,,816,"7,70000000003654E+016",,,,,,,,
9705,2-я Карпатская улица,58481152,2-я Карпатская ул.,Vtoraya Karpatskaya ulicza,1,,816,"7,70000000003655E+016",,,,,,,,
9710,улица Касаткина,58481153,ул. Касаткина,ulicza Kasatkina,1,,301,"7,70000000001448E+016",,,,,,,,
9720,Касимовская улица,58481154,Касимовская ул.,Kasimovskaya ulicza,1,,606,"7,70000000000493E+016",,,,,,,,
9725,Каскадная улица,58481155,Каскадная ул.,Kaskadnaya ulicza,1,,409,"7,70000000000398E+016",,,,,,,,
9750,Каспийская улица,58481157,Каспийская ул.,Kaspijskaya ulicza,1,,612,618,"7,70000000000494E+016",,,,,,,
9760,Кастанаевская улица,58481158,Кастанаевская ул.,Kastanaevskaya ulicza,1,,818,819,"7,7000000000145E+016",,,,,,,
9765,улица Маршала Катукова,58481159,ул. Маршала Катукова,ulicza Marshala Katukova,1,,905,"7,70000000001451E+016",,,,,,,,
9770,улица Каховка,58481160,ул. Каховка,ulicza Kaxovka,1,,703,710,"7,70000000001452E+016",,,,,,,
9780,Качалинская улица,58481161,Качалинская ул.,Kachalinskaya ulicza,1,,107,"7,70000000001453E+016",,,,,,,,
9790,Малая Никитская улица,58481162,М. Никитская ул.,Malaya Nikitskaya ulicza,1,,106,"7,70000000007121E+016",,,,,,,,
9807,улица Наташи Качуевской,58481163,ул. Наташи Качуевской,ulicza Natashi Kachuevskoj,1,,409,"7,70000000007393E+016",,,,,,,,
9810,улица Кашёнкин Луг,58481164,ул. Кашёнкин Луг,ulicza Kashyonkin Lug,1,,308,"7,70000000001455E+016",,,,,,,,
9815,Каширский проезд,58481165,Каширский пр.,Kashirskij proezd,3,,612,613,"7,70000000000495E+016",,,,,,,
9830,Каширское шоссе,58481166,Каширское ш.,Kashirskoe shosse,6,,612,613,616,617,"7,70000000000496E+016",,,,,
9870,1-я Квесисская улица,58481168,1-я Квесисская ул.,Pervaya Kvesisskaya ulicza,1,,213,"7,70000000001456E+016",,,,,,,,
9880,2-я Квесисская улица,58481169,2-я Квесисская ул.,Vtoraya Kvesisskaya ulicza,1,,213,"7,70000000001457E+016",,,,,,,,
9890,улица Кедрова,58481170,ул. Кедрова,ulicza Kedrova,1,,701,"7,70000000001458E+016",,,,,,,,
